Laisser vide,String,true ou false,String ou vide,float,float,String,String,laisser vide,string,true ou false,string,integer
id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock
,Coude PVC ∅ 200mm 45deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,
,Coude PVC ∅ 200mm 87deg,true,,5.92,,,,,Coude PVC ∅ 200mm,true,pce,
,Coude PVC ∅ 250mm 15deg,true,,25.60,,,,,Coude PVC ∅ 250mm,true,pce,
,Coude PVC ∅ 250mm 30deg,true,,25.60,,,,,Coude PVC ∅ 250mm,true,pce,
,Coude PVC ∅ 250mm 45deg,true,,25.60,,,,,Coude PVC ∅ 250mm,true,pce,
,Coude PVC ∅ 250mm 87deg,true,,25.60,,,,,Coude PVC ∅ 250mm,true,pce,
,Coude PVC ∅ 300mm 15deg,true,,41.60,,,,,Coude PVC ∅ 300mm,true,pce,
,Coude PVC ∅ 300mm 30deg,true,,41.60,,,,,Coude PVC ∅ 300mm,true,pce,
,Coude PVC ∅ 300mm 45deg,true,,41.60,,,,,Coude PVC ∅ 300mm,true,pce,
,Coude PVC ∅ 300mm 87deg,true,,41.60,,,,,Coude PVC ∅ 300mm,true,pce,
,Manchon PVC Ø 100 cm,true,,1.31,,,,,Manchon PVC,true,pce,
,Manchon PVC Ø 125 cm,true,,1.92,,,,,Manchon PVC,true,pce,
,Manchon PVC Ø 150 cm,true,,2.75,,,,,Manchon PVC,true,pce,
,Manchon PVC Ø 200 cm,true,,5.50,,,,,Manchon PVC,true,pce,
,Manchon PVC Ø 250 cm,true,,15.68,,,,,Manchon PVC,true,pce,
,Manchon PVC Ø 300 cm,true,,24.32,,,,,Manchon PVC,true,pce,
,Embranchement Ø 100/100 cm,true,,2.88,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 125/110 cm,true,,3.52,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 125/125 cm,true,,3.84,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 150/110 cm,true,,4.80,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 150/125 cm,true,,5.12,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 150/150 cm,true,,5.76,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 200/110 cm,true,,9.28,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 200/125 cm,true,,9.60,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 200/150 cm,true,,9.92,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 200/200 cm,true,,12.48,,,,,Embranchement PVC,true,pce,
,Embranchement Ø 250/250 cm,true,,60.16,,,,,Embranchement PVC,true,pce,
,Réduction PVC Ø 125/100 cm,true,,1.28,,,,,Réduction PVC,true,pce,
,Réduction PVC Ø 150/100 cm,true,,1.82,,,,,Réduction PVC,true,pce,
,Réduction PVC Ø 150/125 cm,true,,2.30,,,,,Réduction PVC,true,pce,
,Réduction PVC Ø 200/125 cm,true,,5.44,,,,,Réduction PVC,true,pce,
,Réduction PVC Ø 200/150 cm,true,,4.03,,,,,Réduction PVC,true,pce,
,Réduction PVC Ø 250/150 cm,true,,21.12,,,,,Réduction PVC,true,pce,
,Bouchon PVC Ø 100 cm,true,,0.74,,,,,Bouchon PVC,true,pce,
,Bouchon PVC Ø 125 cm,true,,0.93,,,,,Bouchon PVC,true,pce,
,Bouchon PVC Ø 150 cm,true,,1.09,,,,,Bouchon PVC,true,pce,
,Bouchon PVC Ø 200 cm,true,,2.05,,,,,Bouchon PVC,true,pce,
,Tuyau PE Ø 55 mm,true,,2.35,,,,,Tuyau PE,true,m,
,Tuyau PE Ø 60/72 mm,true,,2.84,,,,,Tuyau PE,true,m,
,Tuyau PE Ø 80/92 mm,true,,3.67,,,,,Tuyau PE,true,m,
,Tuyau PE Ø 100/112 mm,true,,4.33,,,,,Tuyau PE,true,m,
,Tuyau PE Ø 120/132 mm,true,,5.10,,,,,Tuyau PE,true,m,
,Coude PE Ø 55 mm,true,,23.85,,,,,Coude PE,true,pce,
,Coude PE Ø 60 mm court,true,,43.50,,,,,Coude PE,true,pce,
,Coude PE Ø 80 mm,true,,48.75,,,,,Coude PE,true,pce,
,Coude PE Ø 100 mm,true,,63.75,,,,,Coude PE,true,pce,
,Coude PE Ø 120 mm,true,,84.75,,,,,Coude PE,true,pce,
,Coude articulé,true,,0.00,,,,,Coude PE,true,pce,
,Manchon PE Ø 55 mm,true,,5.90,,,,,Manchon PE,true,pce,
,Manchon PE Ø 60 mm,true,,7.56,,,,,Manchon PE,true,pce,
,Manchon PE Ø 80 mm,true,,9.09,,,,,Manchon PE,true,pce,
,Manchon PE Ø 100 mm,true,,11.61,,,,,Manchon PE,true,pce,
,Manchon PE Ø 120 mm,true,,13.23,,,,,Manchon PE,true,pce,
,Raccord PVC/ciment Ø 200/150mm,true,,50.50,,,,,Raccord PVC/ciment,true,pce,
,Raccord PVC/ciment Ø 150/150mm,true,,32.00,,,,,Raccord PVC/ciment,true,pce,
,Raccord PVC/ciment Ø 150/125mm,true,,22.50,,,,,Raccord PVC/ciment,true,pce,
,Tuyau ciment Ø 30 cm,true,,29.04,,,,,Tuyau ciment,true,pce,
,Tuyau ciment Ø 40 cm,true,,41.36,,,,,Tuyau ciment,true,pce,
,Tuyau ciment Ø 50 cm,true,,59.84,,,,,Tuyau ciment,true,pce,
,Tuyau ciment Ø 60 cm,true,,75.24,,,,,Tuyau ciment,true,pce,
,Tuyau ciment Ø 80 cm,true,,106.92,,,,,Tuyau ciment,true,pce,
,Tuyau ciment Ø 100 cm,true,,163.68,,,,,Tuyau ciment,true,pce,
,Tube ciment Ø 30 cm,true,,22.00,,,,,Tube ciment,true,pce,
,Tube ciment Ø 40 cm,true,,33.88,,,,,Tube ciment,true,pce,
,Tube ciment Ø 50 cm,true,,41.80,,,,,Tube ciment,true,pce,
,Tube ciment Ø 60 cm,true,,51.04,,,,,Tube ciment,true,pce,
,Tube ciment Ø 80 cm,true,,76.12,,,,,Tube ciment,true,pce,
,Tube ciment Ø 100 cm,true,,113.08,,,,,Tube ciment,true,pce,
,"Tube ciment Ø 100 cm, avec fond",true,,195.36,,,,,Tube ciment,true,pce,
,Anneau ciment Ø 30 cm,true,,22.00,,,,,Anneau ciment,true,pce,
,Anneau ciment Ø 40 cm,true,,33.88,,,,,Anneau ciment,true,pce,
,Anneau ciment Ø 50 cm,true,,41.80,,,,,Anneau ciment,true,pce,
,Anneau ciment Ø 60 cm,true,,51.04,,,,,Anneau ciment,true,pce,
,Anneau ciment Ø 80 cm,true,,77.44,,,,,Anneau ciment,true,pce,
,Anneau ciment Ø 100 cm,true,,0.00,,,,,Anneau ciment,true,pce,
,Cône ciment Ø 80/60 cm,true,,111.76,,,,,Cône ciment,true,pce,
,Cône ciment Ø 100/60 cm,true,,155.76,,,,,Cône ciment,true,pce,
,Bouchon ciment Ø 30 cm,true,,37.10,,,,,Bouchon ciment,true,pce,
,Bouchon ciment Ø 40 cm,true,,46.20,,,,,Bouchon ciment,true,pce,
,Bouchon ciment Ø 50 cm,true,,64.40,,,,,Bouchon ciment,true,pce,
,Bouchon ciment Ø 60 cm,true,,84.70,,,,,Bouchon ciment,true,pce,
,Bouchon ciment Ø 80 cm,true,,0.00,,,,,Bouchon ciment,true,pce,
,Couvercle Begu Ø 60 cm 1 to ,true,,68.90,,,,,Couvercle Begu,true,pce,
,Couvercle Begu Ø 60 cm 3 to ,true,,75.40,,,,,Couvercle Begu,true,pce,
,Couvercle Begu Ø 60 cm 5 to ,true,,105.60,,,,,Couvercle Begu,true,pce,
,Couvercle en fonte 1 to Ø 60 cm,true,,132.60,,,,,Couvercle en fonte,true,pce,
,Couvercle en fonte 1 to Ø 80 cm,true,,362.40,,,,,Couvercle en fonte,true,pce,
,Couvercle en fonte 5 to Ø 60 cm,true,,171.00,,,,,Couvercle en fonte,true,pce,
,Couvercle en fonte 5 to Ø 80 cm,true,,466.80,,,,,Couvercle en fonte,true,pce,
,"Couvercle en fonte 1 to Ø 60 cm, inodore",true,,168.00,,,,,Couvercle en fonte,true,pce,
,"Couvercle en fonte 1 to Ø 80 cm, inodore",true,,366.00,,,,,Couvercle en fonte,true,pce,
,"Couvercle en fonte 5 to Ø 60 cm, inodore",true,,216.00,,,,,Couvercle en fonte,true,pce,
,"Couvercle en fonte 5 to Ø 80 cm, inodore",true,,528.00,,,,,Couvercle en fonte,true,pce,
,Bordure rb 15x25/10x12x100 cm,true,,23.27,,,,,Bordure,true,pce,
,Bordure rb 15x25/10x12x50 cm,true,,15.08,,,,,Bordure,true,pce,
,Bordure ciment chanfr. 2c 8x25x100 cm,true,,9.00,,,,,Bordure,true,pce,
,Bordure ciment chanfr. 2c 8x25x50xcm,true,,11.12,,,,,Bordure,true,pce,
,Bordure ciment chanfr. 3c 8x50x100xcm,true,,31.92,,,,,Bordure,true,pce,
,Saut de loup non abri 80/60cm H=20cm,true,,117.15,,,,,Saut de loup,true,pce,
,Saut de loup non abri 80/60cm H=125cm,true,,211.20,,,,,Saut de loup,true,pce,
,Saut de loup non abri 80/60cm H=150cm,true,,246.40,,,,,Saut de loup,true,pce,
,Saut de loup non abri 100/60cm H=75cm,true,,154.55,,,,,Saut de loup,true,pce,
,Saut de loup non abri 100/60cm H=100cm,true,,212.30,,,,,Saut de loup,true,pce,
,Saut de loup non abri 100/60cm H=125cm,true,,233.75,,,,,Saut de loup,true,pce,
,Saut de loup non abri 120/60cm H=125cm,true,,252.45,,,,,Saut de loup,true,pce,
,Saut de loup non abri 120/60cm H=150cm,true,,327.25,,,,,Saut de loup,true,pce,
,Saut de loup non abri 140/60cm H=20cm,true,,156.75,,,,,Saut de loup,true,pce,
,Saut de loup non abri 140/60cm H=150cm,true,,360.25,,,,,Saut de loup,true,pce,
,Saut de loup armé 140/80cm H=150cm,true,,415.25,,,,,Saut de loup,true,pce,
,Saut de loup armé 210/80cm H=100cm,true,,409.75,,,,,Saut de loup,true,pce,
,Saut de loup armé 210/80cm H=50cm,true,,308.00,,,,,Saut de loup,true,pce,
,Fixation universelle 0/6-10 galv.,true,,43.45,,,,,Produits ciment,true,pce,
,Fixation universelle petite,true,,27.23,,,,,Produits ciment,true,pce,
,"Sortie de secours Ø 100 cm, rond",true,,546.00,,,,,Produits ciment,true,pce,
,Echelon pour sortie d'abri,true,,18.60,,,,,Produits ciment,true,pce,
,Bouchon de sortie d'abri Ø 60 cm,true,,64.80,,,,,Produits ciment,true,pce,
,"Pavé en béton chanfreiné carena ép. 8 cm 25/25, gris",true,,29.19,,,,,Pavé,true,m2,
,"Pavé en béton chanfreiné carena ép. 8 cm 25/25, anthracite",true,,33.80,,,,,Pavé,true,m2,
,"Pavé en béton classic, ép. 6 cm, 20/10 cm, gris",true,,23.10,,,,,Pavé,true,m2,
,"Pavé en béton classic, ép. 6 cm, 20/20 cm, gris",true,,23.10,,,,,Pavé,true,m2,
,Pavé granit 11/13,true,,263.50,,,,,Pavé,true,to,
,"Marches d'escalier L parco 100/40/15 cm sablé, gris",true,,72.80,,,,,Escalier,true,pce,
,Marches d'escalier L parco 100/40/15 cm grise talochée,true,,51.20,,,,,Escalier,true,pce,
,Dalle de jardin parco fina sablé gris 50/50 cm,true,,31.01,,,,,Dalle,true,m2,
,Dalle de jardin parco lisse gris 50/50 cm,true,,31.01,,,,,Dalle,true,m2,
,Dalle de jardin béton lavé sarina 6-12mm gris 50/50 cm,true,,31.61,,,,,Dalle,true,m2,
,Dalle de jardin sablées provence 50/50 cm,true,,41.99,,,,,Dalle,true,m2,
,"Multiline V100 drainlock cadre acier, l=100 cm",true,,68.80,,,,,Multiline,true,pce,
,"Multiline V100 grille caillebotis B125, l=100 cm",true,,42.40,,,,,Multiline,true,pce,
,Multiline V100 plaque frontale combi,true,,18.40,,,,,Multiline,true,pce,
,Multiline V100 plaque frontale sortie,true,,31.20,,,,,Multiline,true,pce,
,Gopor F15 ép. 10 mm 0.5m2/pl 50/100cm,true,,0.85,,,,gopor-f15.jpg,Gonon,true,m2,
,Gopor F15 ép. 20 mm 0.5m2/pl 50/100cm,true,,1.70,,,,,Gonon,true,m2,
,Gopor F15 ép. 100 mm 0.5m2/pl 50/100cm,true,,8.50,,,,,Gonon,true,m2,
,Gopor F15 ép. 150 mm 0.5m2/pl 50/100cm,true,,12.75,,,,,Gonon,true,m2,
,Gopor F30 ép. 30 mm 0.5m2/pl 50/100cm,true,,3.75,,,,,Gonon,true,m2,
,Gopor F30 ép. 40 mm 0.5m2/pl 50/100cm,true,,5.00,,,,,Gonon,true,m3,
,Gopor F30 ép. 50 mm 0.5m2/pl 50/100cm,true,,6.25,,,,,Gonon,true,m2,
,"gopaletti rouleau F20 800x100, ép. 20 mm",true,,3.30,,,,gopaletti-f20.jpg,Gonon,true,m2,
,goroll t/se alukraft-pe ép. 22/20mm,true,,4.76,,,,goroll-alukraft.jpg,Gonon,true,m2,
,goMaxiDrain S 125x60x50cm,true,,14.00,,,,,Gonon,true,m2,
,"Filtrapor, panneau filtrant, ép. 8 cm",true,,12.95,,,,,Gonon,true,m2,
,golsodrain 102x60x100,true,,29.90,,,,,Gonon,true,m2,
,goplan xps drain ép. 120+10 mm,true,,44.80,,,,goplan-xpsdrain.jpg,Gonon,true,m2,
,goplan G bleu 100x50x4 cm,true,,8.00,,,,goplan-g-bleu.jpg,Gonon,true,m2,
,goplan G bleu 100x50x14 cm,true,,28.00,,,,goplan-g-bleu.jpg,Gonon,true,m2,
,Styrodur 2800 XPS ép. 20 mm 60/125,true,,6.00,,,,,Styrodur,true,m2,
,Styrodur 2800 XPS ép. 30 mm 60/125,true,,7.00,,,,,Styrodur,true,m2,
,Styrodur 2800 XPS ép. 40 mm 60/125,true,,8.00,,,,,Styrodur,true,m2,
,Styrodur 2800 XPS ép. 50 mm 60/125,true,,10.00,,,,,Styrodur,true,m2,
,Styrodur 2800 XPS ép. 60 mm 60/125,true,,12.00,,,,,Styrodur,true,m2,
,Styrodur 3035 CS XPS R ép. 50 mm 60/125,true,,10.00,,,,,Styrodur,true,m2,
,"Styrofoam, ép. 80 mm, 60/125",true,,27.70,,,,,Styrodur,true,m2,
,Gonon bandes de rive 120/8 mm go-pe,true,,0.36,,,,,Gonon,true,m,
